,0
419,Turkish People's Liberation Front (TPLF)(THKP-C)
420,Uganda Freedom Movement (UFM)
421,Uganda People's Army
422,Ulster Freedom Fighters (UFF)
423,Ulster Volunteer Force (UVF)
424,United Freedom Front (UFF)
425,United Front for Democracy Against Dictatorship
426,United Liberation Front of Assam (ULFA)
427,United Liberation Torchbearers Forces
428,United National Liberation Front (UNLF)
429,United Nicaraguan Opposition
430,United People's Democratic Solidarity (UPDS)
431,United Popular Action Front (FAPU)
432,United Popular Action Movement
433,United Self Defense Units of Colombia (AUC)
434,Vishwa Hindu Parishad (VHP)
435,White Wolves
436,Workers Brigade for Communism
437,Workers' Self-Defense Movement (MAO)
438,World Church of the Creator
439,Young Communist League
440,Zapatista National Liberation Army
441,Zarate Willka Armed Forces of Liberation
442,Zimbabwe African Nationalist Union (ZANU)
