insurgency_group,rtg_ffund,rtg_teraff,rtg_ccodecow,rtg_media,rtg_international,rtg_outnegrep,rtg_educcaus,rtg_logpop,rtg_left,rtg_intnegrep,rtg_pgood,rtg_propertycount,rtg_politics,rtg_govtargcount,rtg_endedtype,rtg_nmbrtrr,rtg_intposrep,rtg_nkillter,rtg_age,rtg_tcode,rtg_cleavage,rtg_logarea,rtg_loggdp,rtg_govcaus,rtg_rel,rtg_civcaus,rtg_nwound,rtg_civcausreal,rtg_eductargcount,rtg_rebel,rtg_nkill,rtg_terpwing,rtg_parterr,rtg_gname,rtg_peaksize,rtg_nat,rtg_broadgoal,rtg_logmil,rtg_endedtype2,rtg_reputation,rtg_frec,rtg_eductargexist,rtg_civtargcount,forge_splinterUCDP,forge_ethnic,forge_fightday,forge_ethnicity,forge_ccode,forge_ideolcom,forge_ideolright,forge_preorglab,forge_cname,forge_ideolnat,forge_preorgrel,forge_goalindep,forge_preorgfmr,forge_preorggov,forge_goalother,forge_preorg,forge_conflict_id,forge_foundloc,forge_splinter,forge_foundday,forge_preorgreb,forge_goaldem,forge_NSAdyadid,forge_preorgmvt,forge_ideolanti,forge_ideolrel,forge_gacronym,forge_fightyear,forge_goalrep,forge_foundmo,forge_ideolnote,forge_goalrights,forge_ideolleft,forge_preorgyou,forge_actorid,forge_preorgoth,forge_ideology,forge_preorgpar,forge_preorgmil,forge_merger,forge_dyadid,forge_goalchange,forge_goalnote,forge_gname,forge_preorgno,forge_goalauto,forge_ideoloth,forge_preorgname,forge_fightmo,forge_preorgfor,forge_preorgref,forge_religious,forge_religion,forge_preorgeth,forge_foundyear,forge_goalnominal,baad_terrcntrl,baad_torg,baad_fdrob,baad_fdkidnap,baad_lead_hierarch,baad_fddrugtk,baad_fdextort,baad_hb_iso_cc,baad_fdstate,baad_left,baad_hbccode,baad_fdsmuggl,baad_torg_year,baad_age,baad_org,baad_size_rec,baad_hbiso,baad_reli,baad_hbase,baad_ethn,baad_socsvcs,baad_year,baad_ucdpbd,mas_maxedu,mas_totalpopmin,mas_ethnic,mas_terrcontrol,mas_side_b,mas_location,mas_preconflict_health,mas_yearmin,mas_maxhealth,mas_communist,mas_yearmax,mas_preconflict_edu,gsw_target,gsw_wbcode,gsw_repression,gsw_lccode,gsw_year,gsw_location,gsw_campaign,gsw_cyear,war_id,war_acr,war_dyadperiod,war_terrcontrol,war_side_b,war_l1democracy,war_l1totalpop_log,war_confid,war_communist,war_side_a,war_year,war_location,war_ethnonsec,war_dyadid,war_obsid
Mahdi Army,1.0,1.0,645.0,0.0,0.0,0.0,0.0,3.2816074,0.0,2.0,1.0,0.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,Mahdi Army,2.0,12.97656,8.035288,0.0,0.0,2.0,1.0,96.6,0.0,1.0,2.0,1.0,0.0,Mahdi Army,3.0,1.0,0.0,5.6489744,0.0,0.0,0.0,0.0,3.0,,0.0,4.0,,645.0,0.0,0.0,0.0,Iraq,1.0,1.0,0.0,0.0,0.0,1.0,"4,11",259.0,"Sadr City (Saddam City), northeastern Baghdad",,,0.0,0.0,442.0,1.0,0.0,1.0,al-Mahdi Army,2004.0,0.0,6.0,,0.0,0.0,0.0,5659.0,0.0,1.0,0.0,0.0,0.0,13891.0,1.0,"protect Shiite holy places, expel US forces",al-Mahdi Army,0.0,0.0,0.0,Sadrist Movement/Trend,4.0,0.0,0.0,1.0,6.0,0.0,2003.0,"establish Shiite gov't, protect Shiite holy places (initial) & expel US forces (later)",0.0,283.0,0.0,0.0,1.0,0.0,0.0,368.0,0.0,0.0,645.0,0.0,283_2003,0.0,Mahdi Army,3.0,IRQ,1.0,Iraq,0.0,1.0,2003.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Republic of Artsakh/Republic of Nagorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,Armenian,373.0,0.0,0.0,0.0,Azerbaijan,1.0,0.0,1.0,0.0,0.0,0.0,2,388.0,Stepanakert,0.0,2.0,0.0,0.0,361.0,0.0,0.0,0.0,Republic of Nagorno-Karabakh,1991.0,0.0,9.0,,0.0,0.0,0.0,338.0,0.0,1.0,0.0,0.0,1.0,833.0,0.0,,Republic of Artsakh/Republic of Nagorno-Karabakh,0.0,0.0,0.0,Anti-Soviet/Azeri Armenian private militias,12.0,0.0,0.0,0.0,0.0,0.0,1991.0,independence for Karabakh,,,,,,,,,,,,,,,,,,,,,,,,4.0,15.8249855,1.0,1.0,Republic of Nagorno-Karabakh,Azerbaijan,1.0,1992.0,4.0,0.0,1994.0,1.0,Azeri occupation,AZE,3.0,373.0,1991.0,Azerbaijan,Armenians in Nagorno-Karabakh,0.0,AZE-1992,AZE,1.0,1.0,Republic of Nagorno-Karabakh,0.0,15.811431,2950,0.0,Azerbaijan,1992.0,Azerbaijan,0.0,2950-1,EACD.2.2-1252
Al-Shabaab,1.0,0.0,520.0,0.0,1.0,0.0,0.0,2.1671653,0.0,3.0,1.0,2.0,1.0,6.0,0.0,3.0,2.0,0.0,1.0,Al-Shabaab,3.0,13.34924,,135.0,1.0,0.0,40.0,0.6666667,0.0,1.0,135.0,1.0,0.0,Al-Shabaab,3.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,520.0,0.0,0.0,0.0,Somalia,0.0,0.0,0.0,0.0,0.0,1.0,1,337.0,Mogadishu,0.0,,1.0,0.0,770.0,0.0,0.0,1.0,Al-Shabaab,2008.0,0.0,,Islamist,0.0,0.0,0.0,717.0,0.0,1.0,0.0,0.0,0.0,750.0,1.0,establish Islamic state,Al-Shabaab,0.0,0.0,0.0,ARS/UIC,1.0,0.0,0.0,1.0,5.0,0.0,2008.0,establishing Islamic government over a greater-Somalia,0.0,2147.0,0.0,0.0,1.0,0.0,0.0,706.0,0.0,0.0,520.0,0.0,2147_2006,0.0,Al-Shabaab,2.0,SOM,1.0,Somalia,0.0,0.0,2006.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maoist Communist Center (MCC),1.0,0.0,790.0,0.0,0.0,1.0,0.0,2.8530972,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,15.0,Maoist Communist Center (MCC),1.0,11.87187,6.4846177,0.0,0.0,11.0,0.0,11.0,0.0,1.0,11.0,1.0,0.0,Maoist Communist Center (MCC),4.0,0.0,0.0,3.218876,0.0,0.0,1.0,0.0,1.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",0.0,285.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,1.0,750.0,0.0,285_1998,29.0,Maoist Communist Center (MCC),3.0,IND,0.0,India,0.0,0.0,1998.0,25.0,3.0,20.527517,0.0,0.0,MCC,India,,1989.0,3.0,1.0,2003.0,,,,,,,,,,IND-1989,IND,1.0,0.0,MCC,1.0,20.508064,1290.3,1.0,India,1989.0,India,0.0,1290.3-2,EACD.2.2-151
People's Solidarity Association/Peace Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,28.0,Jummas (esp. Chakma),771.0,0.0,0.0,0.0,Bangladesh,1.0,0.0,0.0,0.0,0.0,0.0,13,322.0,Chittagong Hill Tracts,,7.0,0.0,0.0,223.0,0.0,0.0,0.0,JSS/SB,1975.0,0.0,3.0,,0.0,0.0,0.0,285.0,0.0,1.0,0.0,0.0,0.0,705.0,0.0,,People's Solidarity Association/Peace Force,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,1972.0,autonomy for Chittagong Hill Tracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Umar Mujahideen,1.0,0.0,750.0,0.0,0.0,0.0,0.0,6.793466,0.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0,Al-Umar Mujahideen,2.0,14.90515,7.088208,0.0,0.0,5.0,0.0,11.428572,0.0,0.0,5.0,0.0,0.0,Al-Umar Mujahideen,2.0,1.0,0.0,7.138867,0.0,0.0,0.0,0.0,2.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moro Islamic Liberation Front (MILF),1.0,0.0,840.0,0.0,0.0,0.0,0.0,4.017051,0.0,3.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,0.0,10.0,Moro Islamic Liberation Front (MILF),3.0,12.60542,7.7508683,0.0,1.0,0.0,0.0,41.0,0.0,1.0,0.0,1.0,0.0,Moro Islamic Liberation Front (MILF),4.0,0.0,0.0,4.65396,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,,840.0,0.0,0.0,0.0,Philippines,0.0,0.0,1.0,0.0,0.0,0.0,1,308.0,Mindanao,1.0,,1.0,0.0,242.0,0.0,0.0,1.0,MILF,1990.0,0.0,12.0,Islamist,0.0,0.0,0.0,276.0,0.0,1.0,0.0,0.0,0.0,657.0,0.0,,Moro Islamic Liberation Front,0.0,0.0,0.0,MNLF,2.0,0.0,0.0,1.0,5.0,0.0,1977.0,independent Islamic state,0.0,301.0,0.0,0.0,1.0,0.0,0.0,608.0,0.0,0.0,840.0,0.0,301_1998,20.0,Moro Islamic Liberation Front (MILF),3.0,PHL,1.0,Philippines,1.0,0.0,1998.0,38.0,0.0,17.991247,1.0,0.0,MILF,Philippines,0.0,1990.0,0.0,0.0,2003.0,0.0,,,,,,,,,PHI-1990,PHI,1.0,0.0,MILF,1.0,17.967411,2120,0.0,Philippines,1990.0,Philippines,1.0,2120-2,EACD.2.2-736
National Liberation Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,31.0,,145.0,1.0,0.0,0.0,Bolivia,0.0,0.0,0.0,0.0,0.0,1.0,11,200.0,"Lagunillas, Santa Cruz, Bolivia",,,0.0,0.0,464.0,0.0,0.0,0.0,ELN,1967.0,0.0,3.0,Castroism,0.0,0.0,0.0,721.0,0.0,1.0,0.0,0.0,0.0,401.0,1.0,Pan-Latin American Communist revolution,National Liberation Army,0.0,0.0,0.0,"Cuban gov't created ELN, sent several Cubans (incl. Guevara) to train and fight with Bolivians",3.0,1.0,0.0,0.0,0.0,0.0,1966.0,Ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian National Army (ANA),1.0,0.0,343.0,0.0,1.0,0.0,0.0,0.7011525,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,Albanian National Army (ANA),2.0,10.12085,8.8578825,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Albanian National Army (ANA),1.0,1.0,0.0,2.7725887,0.0,0.0,0.0,0.0,0.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moro National Liberation Front (MNLF),1.0,1.0,840.0,0.0,0.0,1.0,0.0,3.8515067,0.0,2.0,1.0,16.0,1.0,4.0,0.0,3.0,2.0,10.0,4.0,Moro National Liberation Front (MNLF),3.0,12.60542,7.94696,9.0,1.0,120.0,311.0,40.0,0.0,1.0,129.0,0.0,1.0,Moro National Liberation Front (MNLF),4.0,0.0,0.0,5.043425,0.0,0.0,0.0,0.0,13.0,0.0,1.0,31.0,Bangsamoro,840.0,0.0,0.0,0.0,Philippines,1.0,0.0,1.0,0.0,0.0,0.0,1,308.0,"Pulau Pangkor, Malaysia",0.0,,1.0,0.0,247.0,0.0,0.0,1.0,MNLF,1972.0,0.0,,,0.0,0.0,0.0,275.0,0.0,1.0,0.0,0.0,0.0,656.0,0.0,,Moro National Liberation Front,0.0,0.0,0.0,MIM,10.0,0.0,0.0,1.0,5.0,0.0,1969.0,independent Islamic state for Moros,0.0,302.0,0.0,0.0,1.0,0.0,0.0,608.0,1.0,0.0,840.0,0.0,302_1998,29.0,Moro National Liberation Front (MNLF),3.0,PHL,1.0,Philippines,1.0,0.0,1998.0,0.0,3.0,17.525421,1.0,0.0,MNLF,Philippines,0.0,1972.0,1.0,0.0,1993.0,0.0,Filipino government,PHL,3.0,840.0,1970.0,Philippines,Moro National Liberation Front,0.0,PHI-1972,PHI,1.0,0.0,MNLF,0.0,17.497316,2120,0.0,Philippines,1972.0,Philippines,0.0,2120-1,EACD.2.2-730
National Revolutionary Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,,145.0,0.0,0.0,0.0,Bolivia,0.0,0.0,0.0,0.0,0.0,1.0,3,200.0,La Paz,,21.0,0.0,0.0,463.0,0.0,0.0,0.0,MNR,1952.0,0.0,7.0,leftist w/elements of Marxism,1.0,1.0,0.0,720.0,0.0,1.0,1.0,0.0,0.0,400.0,0.0,economic and political reforms,National Revolutionary Movement,0.0,0.0,0.0,Nationalist Revolutionary Movement,4.0,0.0,0.0,0.0,0.0,0.0,1946.0,"nationalization of mining, stronger state regulation, political/property rights for indigenous population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Boncayao Brigade (ABB),1.0,0.0,840.0,0.0,0.0,0.0,0.0,4.2151313,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,9.0,Alex Boncayao Brigade (ABB),1.0,12.60542,7.8119197,1.0,0.0,0.0,0.0,8.2,0.0,0.0,1.0,0.0,0.0,Alex Boncayao Brigade (ABB),2.0,0.0,0.0,4.644391,0.0,0.0,0.0,0.0,0.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movement for Democracy and Justice in Chad (MDJT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,,483.0,0.0,0.0,0.0,Chad,0.0,0.0,0.0,0.0,0.0,0.0,0,288.0,Tibesti region,,,0.0,0.0,27.0,0.0,0.0,0.0,MDJT,1998.0,0.0,10.0,,0.0,0.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,616.0,1.0,perhaps pro-democracy; accuse Deby of being authoritarian & corrupt,Movement for Democracy and Justice in Chad,1.0,0.0,0.0,"Possible ties to current gov't/military, as it was founded by a former defense minister under Deby - but no evidence that he brought entire organization with him",12.0,0.0,0.0,0.0,0.0,0.0,1998.0,Overthrow Deby,0.0,305.0,0.0,0.0,1.0,0.0,0.0,148.0,0.0,0.0,483.0,0.0,305_1998,0.0,Movement for Democracy and Justice in Chad (MDJT),1.0,TCD,0.0,Chad,0.0,0.0,1998.0,0.0,0.0,15.857865,0.0,0.0,MDJT,Chad,0.0,1999.0,0.0,0.0,2002.0,0.0,,,,,,,,,CHA-1999,CHA,1.0,0.0,MDJT,0.0,15.827652,1910,0.0,Chad,1999.0,Chad,0.0,1910-14,EACD.2.2-625
"FDA – Democratic Anti-Fascist Front (Frente Democrático Anti-Fascista), Popular Revolutionary Movement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,145.0,0.0,0.0,0.0,Bolivia,0.0,0.0,0.0,0.0,0.0,0.0,3,200.0,La Paz,,,0.0,0.0,462.0,0.0,0.0,0.0,Popular Revolutionary Movement,1946.0,0.0,5.0,,0.0,0.0,0.0,719.0,0.0,0.0,1.0,0.0,1.0,399.0,1.0,,"FDA – Democratic Anti-Fascist Front (Frente Democrático Anti-Fascista), Popular Revolutionary Movement",0.0,0.0,0.0,Liberal Party and the Party of the Revolutionary Left (PIR),6.0,0.0,0.0,0.0,0.0,0.0,1946.0,Ouster of incumbent government,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,Popular Revolutionary Movement,Bolivia,0.0,1946.0,0.0,0.0,1946.0,0.0,,,,,,,,,BOL-1946,BOL,1.0,0.0,Popular Revolutionary Movement,,,1010.1,0.0,Bolivia,1946.0,Bolivia,0.0,1010.1-1,EACD.2.2-1
Alfaro Vive,0.0,1.0,130.0,0.0,0.0,0.0,0.0,2.155225,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,13.0,Alfaro Vive,1.0,12.53119,8.56865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Alfaro Vive,2.0,0.0,0.0,3.6635616,0.0,0.0,0.0,0.0,1.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujahedin-e Khalq (MEK),0.0,0.0,630.0,0.0,0.0,0.0,0.0,3.6526444,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,17.0,Mujahedin-e Khalq (MEK),2.0,14.30776,8.880131,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Mujahedin-e Khalq (MEK),2.0,1.0,0.0,5.7203116,0.0,0.0,0.0,0.0,0.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",0.0,310.0,0.0,0.0,1.0,0.0,0.0,368.0,1.0,1.0,645.0,0.0,310_1998,35.0,Mujahedin-e Khalq (MEK),3.0,IRQ,1.0,Iraq,0.0,0.0,1998.0,0.0,0.0,17.45585,0.0,0.0,Mujahideen e Khalq,Iran,0.0,1979.0,0.0,0.0,2001.0,0.0,,,,,,,,,IRN-1979,IRN,1.0,0.0,Mujahideen e Khalq,0.0,17.41987,2440.1,0.0,Iran,1979.0,Iran,,2440.1-1,EACD.2.2-1021
Autonomous Province of Western Bosnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,,346.0,0.0,0.0,0.0,Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0,397.0,Velika Kladusa,,27.0,0.0,0.0,294.0,0.0,0.0,0.0,Autonomous Province of Western Bosnia,1993.0,0.0,9.0,,0.0,0.0,0.0,349.0,0.0,0.0,0.0,0.0,0.0,846.0,0.0,,Autonomous Province of Western Bosnia,1.0,1.0,0.0,,7.0,0.0,0.0,0.0,0.0,0.0,1993.0,autonomy,,,,,,,,,,,,,,,,,,,,,,,,,15.190496,0.0,1.0,Autonomous Province of Western Bosnia,Bosnia and Herzegovina,,1993.0,,0.0,1995.0,,,,,,,,,,BOS-1993,BOS,1.0,1.0,Autonomous Province of Western Bosnia,0.0,15.263843,3040,0.0,Bosnia and Herzegovina,1993.0,Bosnia and Herzegovina,0.0,3040-1,EACD.2.2-1306
Croatian Republic of Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,Croatian,346.0,0.0,0.0,0.0,Bosnia and Herzegovina,1.0,0.0,0.0,0.0,0.0,1.0,13,398.0,Mostar,,18.0,0.0,0.0,293.0,0.0,0.0,0.0,Croatian Republic of Bosnia-Herzegovina,1993.0,0.0,11.0,,1.0,0.0,0.0,350.0,0.0,1.0,0.0,0.0,0.0,848.0,0.0,self-defense/protection of Bosnian Croats,Croatian Republic of Bosnia-Herzegovina,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1991.0,self-defense (only demanded independence/autonomy a couple years later),,,,,,,,,,,,,,,,,,,,,,,,4.0,15.190496,1.0,1.0,Croatian Republic of Bosnia and Herzegovina,Bosnia and Herzegovina,1.0,1993.0,4.0,0.0,1994.0,1.0,,,,,,,,,BOS-1993,BOS,1.0,1.0,Croatian Republic of Bosnia and Herzegovina,0.0,15.263843,3050,0.0,Bosnia and Herzegovina,1993.0,Bosnia and Herzegovina,0.0,3050-2,EACD.2.2-1312
Serbian Republic of Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,27.0,Serbian,346.0,0.0,0.0,0.0,Bosnia and Herzegovina,1.0,0.0,1.0,1.0,0.0,0.0,"3,9,11",389.0,Sarajevo,,,0.0,0.0,292.0,0.0,0.0,0.0,Serbian Republic of Bosnia-Herzegovina,1993.0,0.0,3.0,,0.0,0.0,0.0,339.0,0.0,1.0,1.0,0.0,1.0,835.0,0.0,,Serbian Republic of Bosnia-Herzegovina,0.0,0.0,0.0,"Serbian Democratic Party, mercenaries from Serbia, Yugoslavian National Army",4.0,1.0,0.0,0.0,0.0,0.0,1992.0,independence for Bosnian Serbs,,,,,,,,,,,,,,,,,,,,,,,,,15.263843,0.0,1.0,Serbian Republic of Bosnia and Herzegovina,Bosnia and Herzegovina,,1992.0,,0.0,1995.0,,,,,,,,,,BOS-1992,BOS,1.0,1.0,Serbian Republic of Bosnia and Herzegovina,0.0,15.308282,2960,0.0,Bosnia and Herzegovina,1992.0,Bosnia and Herzegovina,0.0,2960-1,EACD.2.2-1258
All Burma Students' Democratic Front (ABSDF),0.0,0.0,775.0,1.0,0.0,0.0,0.0,3.68527,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,1.0,All Burma Students' Democratic Front (ABSDF),1.0,13.39657,,0.0,0.0,0.0,3.0,7.3333335,0.0,1.0,0.0,0.0,0.0,All Burma Students' Democratic Front (ABSDF),4.0,0.0,0.0,5.655992,0.0,1.0,0.0,0.0,0.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,4.0,,0.0,0.0,ABSDF,Burma,1.0,1990.0,4.0,1.0,1994.0,1.0,military junta,MMR,3.0,775.0,1988.0,Burma,Burma pro-democracy movement,0.0,MYA-1990,MYA,1.0,0.0,ABSDF,0.0,,1240.2,1.0,Burma,1990.0,Burma,0.0,1240.2-1,EACD.2.2-112
All India Sikh Students Federation (AISSF),0.0,1.0,750.0,1.0,0.0,0.0,0.0,6.6200733,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,39.0,All India Sikh Students Federation (AISSF),2.0,14.90515,6.8731403,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,All India Sikh Students Federation (AISSF),,1.0,0.0,7.0066953,0.0,1.0,0.0,0.0,2.0,,0.0,,,811.0,0.0,0.0,0.0,Cambodia,0.0,0.0,0.0,0.0,0.0,1.0,"2,4",,Cambodia-Thai border,0.0,,0.0,0.0,,1.0,0.0,0.0,FUNCINPEC-ANS,,0.0,,"anti-communist, royalist",0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,,1.0,end foreign occupation by Vietnam,,0.0,0.0,1.0,"FUNCINPEC,  Moulinaka, Khleang Moueng, Sereikar Oddar Tus, Khmer Angkor, Praloeng Khmer, and Damrai Saw Phluk Khiew",,0.0,0.0,0.0,0.0,0.0,1981.0,"regime change, anti occupation",,,,,,,,,,,,,,,,,,,,,,,,,20.406528,1.0,0.0,Sikh insurgents,India,,1983.0,,0.0,1993.0,,separatism,IND,3.0,750.0,1984.0,India,Sikh insurgency,0.0,IND-1983,IND,1.0,0.0,Sikh insurgents,1.0,20.385988,2570,0.0,India,1983.0,India,0.0,2570-1,EACD.2.2-1090
